NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100704;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100705;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100706;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100707;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100708;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100709;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100710;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100711;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100712;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100713;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100714;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100715;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100716;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100717;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100718;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100719;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100720;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100721;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100722;1.6;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100723;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100724;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100725;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100726;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100727;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100728;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100729;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100730;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100731;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100801;1.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100802;1.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100803;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100804;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100805;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100806;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100807;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100808;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100809;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100810;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100811;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100812;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100813;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100814;10.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100815;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100816;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100817;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100818;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100819;21.8;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100820;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100821;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100822;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100823;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100824;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100825;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100826;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100827;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100828;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100829;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100830;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100831;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100901;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100902;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100903;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100904;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100905;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100906;5.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100907;19.8;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100908;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100909;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100910;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100911;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100912;0.0;1
